N.data,max.segs,case,package,seconds_median,seconds_min,seconds_max,seconds_timings,computed.ends,valid.ends,loss,computed.N
512,256,worst,ruptures,2.2167135,2.1494351,2.2591142,5,,,1521.79948772984,170
1024,512,flat,binsegRcpp.list,0.0033082,0.0032123,0.0038525,5,,,424.960956155673,449
1024,512,flat,binsegRcpp.multiset,0.0033419,0.0030425,0.004308,5,,,424.960956155673,449
1024,512,flat,blockcpd,1.0083273,0.9945387,1.0254279,5,,,424.960956155673,449
1024,512,flat,changepoint,0.0431386,0.0413764,0.0473802,5,,,,512
1024,512,flat,ruptures,1.6990722,1.6478273,1.7328994,5,,,916.846891617155,288
1024,512,best,binsegRcpp.list,0.0032637,0.002392,0.0035372,5,,,743.210345108201,512
1024,512,best,binsegRcpp.multiset,0.0024844,0.0023618,0.0027757,5,,,743.210345108201,512
1024,512,best,blockcpd,0.4103142,0.3788154,0.4532913,5,,,743.210345108201,512
1024,512,best,changepoint,0.0515682,0.0491925,0.0528832,5,,,,512
1024,512,best,ruptures,0.8148227,0.8057826,0.9140302,5,,,1567.24255627446,256
1024,512,worst,binsegRcpp.list,0.0207198,0.0196259,0.0222329,5,,,743.210345108201,512
1024,512,worst,binsegRcpp.multiset,0.0224986,0.0199192,0.026109,5,,,743.210345108201,512
1024,512,worst,blockcpd,12.2764547,11.7820157,12.6947889,5,,,743.210345108201,512
1024,512,worst,changepoint,0.028629,0.0278925,0.0296784,5,,,,512
1024,512,worst,ruptures,9.1019963,8.9132435,9.8850218,5,,,3043.57061345357,341
2048,1024,flat,binsegRcpp.list,0.006381,0.0057747,0.0075392,5,,,742.420382190372,902
2048,1024,flat,binsegRcpp.multiset,0.0061119,0.0058213,0.0165893,5,,,742.420382190372,902
2048,1024,flat,blockcpd,2.6625908,2.6281935,2.9166582,5,,,742.420382190372,902
2048,1024,flat,changepoint,0.2191024,0.2135745,0.2452927,5,,,,1024
2048,1024,flat,ruptures,4.9472203,4.8634981,5.181862,5,,,1790.1497958447,570
2048,1024,best,binsegRcpp.list,0.0043335,0.0041724,0.0046796,5,,,1486.4206902164,1024
2048,1024,best,binsegRcpp.multiset,0.0034523,0.0031866,0.0046298,5,,,1486.4206902164,1024
2048,1024,best,blockcpd,0.9400744,0.9069236,0.9741431,5,,,1486.4206902164,1024
2048,1024,best,changepoint,0.2689553,0.2554626,0.2959285,5,,,,1024
2048,1024,best,ruptures,1.9058329,1.8411126,1.9100768,5,,,3134.48511254892,512
2048,1024,worst,binsegRcpp.list,0.0808181,0.0760425,0.0864251,5,,,1486.4206902164,1024
2048,1024,worst,binsegRcpp.multiset,0.080301,0.0773074,0.0880331,5,,,1486.4206902164,1024
2048,1024,worst,blockcpd,49.3002159,47.725654,50.2955116,5,,,1486.4206902164,1024
2048,1024,worst,changepoint,0.1981746,0.1935454,0.2196367,5,,,,1024
2048,1024,worst,ruptures,36.1259463,35.8171115,36.3006818,5,,,6086.78728181444,682
4096,2048,flat,binsegRcpp.list,0.0137741,0.0126301,0.0161667,5,,,1422.44296324492,1818
4096,2048,flat,binsegRcpp.multiset,0.0137941,0.0131595,0.0170959,5,,,1422.44296324492,1818
4096,2048,flat,blockcpd,5.8977206,5.6662003,6.0386484,5,,,1422.44296324492,1818
4096,2048,flat,changepoint,1.8349488,1.5001461,1.9199423,5,,,,2048
4096,2048,flat,ruptures,11.8084108,11.2047193,13.0295143,5,,,3507.52895302472,1147
4096,2048,best,binsegRcpp.list,0.01243,0.0096364,0.0153311,5,,,2972.8413804328,2048
4096,2048,best,binsegRcpp.multiset,0.0065727,0.0059075,0.0080246,5,,,2972.8413804328,2048
4096,2048,best,blockcpd,2.1040246,2.0314172,2.2262355,5,,,2975.78386819184,2047
4096,2048,best,changepoint,1.7978061,1.6968769,1.9917116,5,,,,2048
4096,2048,best,ruptures,4.3545293,4.3247278,4.5011966,5,,,6268.97022509784,1024
4096,2048,worst,binsegRcpp.list,0.3326428,0.3073125,0.3350119,5,,,2972.8413804328,2048
4096,2048,worst,binsegRcpp.multiset,0.3130734,0.2939059,0.3234292,5,,,2972.8413804328,2048
4096,2048,worst,blockcpd,170.3138456,167.4244569,190.1153557,5,,,2972.8413804328,2048
4096,2048,worst,changepoint,1.4199084,1.3737996,1.5564263,5,,,,2048
4096,2048,worst,ruptures,132.7480404,130.1634296,186.140584,5,,,12173.5462016228,1365
8192,4096,flat,binsegRcpp.list,0.0305045,0.0286051,0.0332767,5,,,2750.39857345001,3615
8192,4096,flat,binsegRcpp.multiset,0.0247424,0.0233465,0.0269309,5,,,2750.39857345001,3615
8192,4096,flat,blockcpd,11.7333445,11.621573,11.9813876,5,,,2750.39857345001,3615
8192,4096,flat,changepoint,11.1497379,11.0509334,11.9334921,5,,,,4096
8192,4096,flat,ruptures,24.7918237,24.2198599,25.1802266,5,,,6873.2365898775,2280
8192,4096,best,binsegRcpp.list,0.0285808,0.0272425,0.0299424,5,,,5945.68276086561,4096
8192,4096,best,binsegRcpp.multiset,0.0106449,0.0102907,0.0111452,5,,,5945.68276086561,4096
8192,4096,best,blockcpd,4.0222558,3.7210842,4.051277,5,,,5951.56773638368,4094
8192,4096,best,changepoint,11.5995765,11.5305962,11.8838267,5,,,,4096
8192,4096,best,ruptures,9.0035665,8.8925687,9.2581987,5,,,12537.9404501957,2048
8192,4096,worst,binsegRcpp.list,1.1719651,1.1465997,1.2019434,5,,,5945.68276086561,4096
8192,4096,worst,binsegRcpp.multiset,1.1782658,1.1572958,1.1822508,5,,,5945.68276086561,4096
8192,4096,worst,changepoint,10.8084997,10.6613584,10.9383494,5,,,,4096
16384,8192,flat,binsegRcpp.list,0.0831173,0.0754741,0.0889106,5,,,5061.79237521539,7211
16384,8192,flat,binsegRcpp.multiset,0.0693862,0.0597226,0.0725539,5,,,5061.79237521539,7211
16384,8192,flat,blockcpd,30.6986912,30.2520164,31.1934883,5,,,5061.79237521539,7211
16384,8192,flat,changepoint,84.006918,83.8216792,85.2845823,5,,,,8192
16384,8192,flat,ruptures,108.3238995,64.8904353,118.4338924,5,,,13364.6084926612,4571
16384,8192,best,binsegRcpp.list,0.1332442,0.1224472,0.1406781,5,,,11891.3655217312,8192
16384,8192,best,binsegRcpp.multiset,0.0316062,0.0193226,0.0333796,5,,,11891.3655217312,8192
16384,8192,best,blockcpd,8.2690654,8.1176561,8.9287904,5,,,11909.0204482854,8186
16384,8192,best,changepoint,86.1798071,86.0642433,89.6027312,5,,,,8192
16384,8192,best,ruptures,51.3990472,50.8310282,51.8541597,5,,,25075.8809003914,4096
16384,8192,worst,binsegRcpp.list,4.673474,4.6110417,4.9662236,5,,,11891.3655217312,8192
