profile.id,chromosome,N.data,max.segments,sum.splits,max.depth
105,10,194,N.data,1973,19
105,11,198,10,1161,6
105,11,198,N.data,2394,25
105,12,248,10,1273,6
105,12,248,N.data,2689,23
105,13,132,10,501,5
105,13,132,N.data,985,13
105,14,114,10,495,5
105,14,114,N.data,828,14
105,15,122,10,573,4
105,15,122,N.data,1653,26
105,16,117,10,620,6
105,16,117,N.data,1155,17
105,17,188,10,707,6
105,17,188,N.data,1703,17
105,18,105,10,605,8
105,18,105,N.data,871,13
105,19,75,10,308,5
105,19,75,N.data,571,14
105,2,331,10,1323,4
105,2,331,N.data,4215,25
105,20,125,10,644,6
105,20,125,N.data,1089,15
105,21,61,10,235,5
105,21,61,N.data,379,12
105,22,94,10,378,5
105,22,94,N.data,619,12
105,3,256,10,1109,4
105,3,256,N.data,2444,18
105,4,237,10,761,5
105,4,237,N.data,2656,23
105,5,256,10,1237,6
105,5,256,N.data,3299,27
105,6,223,10,1151,5
105,6,223,N.data,2615,28
105,7,182,10,846,5
105,7,182,N.data,1841,21
105,8,194,10,1145,6
105,8,194,N.data,1977,17
105,9,170,10,856,5
105,9,170,N.data,1777,21
105,X,187,10,816,4
105,X,187,N.data,1684,17
105,Y,27,10,108,7
105,Y,27,N.data,127,8
106,1,533,10,2478,5
106,1,533,N.data,6776,27
106,10,192,10,1111,7
106,10,192,N.data,1904,17
106,11,198,10,811,4
106,11,198,N.data,1637,18
106,12,250,10,1407,6
106,12,250,N.data,2741,21
106,13,131,10,464,7
106,13,131,N.data,1022,14
106,14,115,10,451,5
106,14,115,N.data,930,14
106,15,122,10,800,7
106,15,122,N.data,1357,22
106,16,119,10,711,7
106,16,119,N.data,1184,18
106,17,188,10,697,6
106,17,188,N.data,1590,15
106,18,106,10,544,6
106,18,106,N.data,860,17
106,19,75,10,387,5
106,19,75,N.data,603,16
106,2,331,10,1349,6
106,2,331,N.data,3638,24
106,20,125,10,651,6
106,20,125,N.data,1117,15
106,21,61,10,272,6
106,21,61,N.data,415,11
106,22,93,10,509,6
106,22,93,N.data,947,18
106,3,256,10,934,5
106,3,256,N.data,2457,18
106,4,236,10,843,5
106,4,236,N.data,2169,19
106,5,253,10,1265,5
106,5,253,N.data,2951,21
106,6,223,10,998,9
106,6,223,N.data,2352,21
106,7,183,10,891,5
106,7,183,N.data,1804,19
106,8,194,10,821,6
106,8,194,N.data,1858,18
106,9,169,10,824,5
106,9,169,N.data,2037,26
106,X,186,10,892,6
106,X,186,N.data,1933,20
106,Y,28,10,107,6
106,Y,28,N.data,126,8
107,1,395,10,1945,5
107,1,395,N.data,4272,20
107,10,102,10,420,4
107,10,102,N.data,787,13
107,11,121,10,676,7
107,11,121,N.data,1136,17
107,12,173,10,804,5
107,12,173,N.data,1918,24
107,13,61,10,269,5
107,13,61,N.data,451,13
107,14,69,10,317,6
107,14,69,N.data,502,13
107,15,72,10,322,5
107,15,72,N.data,484,14
107,16,70,10,293,5
107,16,70,N.data,442,12
107,17,143,10,646,5
107,17,143,N.data,1134,14
107,18,56,10,311,7
107,18,56,N.data,409,14
107,19,43,10,173,5
107,19,43,N.data,249,11
107,2,191,10,1122,9
107,2,191,N.data,2303,20
